review_id,drugName,condition,review,rating,date,usefulCount
42041,Tetracycline,Acne,"Going on tetracycline was a failed attempt at curing my acne. I have mild acne with deep pimples sometimes. The antibiotic did not begin to work until after I was done taking it (I was on it for about 3 months), and it gave me bad stomach pains. After about 2 months of getting off of tetracycline all of my acne came back on my face, and it appeared to be worse on my back and chest. I do not recommend this as a remedy for acne. This was a big waste of time and I regret taking it.",1.0,2017-06-18,3
16103,Ethinyl estradiol / norethindrone,Acne,"I was put on birth control to not only reduce my cystic acne, but to regulate my periods. As far as my actual menstrual cycle goes, everything is normal, if not a little bit better because of this pill. But with my acne, things haven't been going smoothly. If I didn't have a complicated skin care routine I'm positive my face would be covered in acne. When I first got on the pill, my acne did clear up a bit, but eventually I started breaking out even worse than I did prior to being on the pill. To say the least, I'm extremely disappointed. I'm not using the pill for its intended purpose (I'm not sexually active,) yet this was recommended to me anyways??",3.0,2016-05-17,1
60626,Claravis,Acne,"I'm on my second week of Claravis 20mg, 29yrs old. My first week was okay, until I get my period, and now I'm breaking out again. I always breakout around my period. I hope it gets better. Maybe birth control pill will help my acne, but I don't want to take any birth control pills.",3.0,2010-08-13,2
153509,Doxycycline,Acne,"My doctor put me on doxycycline for my mild acne, and I saw very little difference. I was on it for two months, and still had scattered breakouts. I'm disappointed in the results, and the side effects. I got a yeast infection twice! If you take this, take probiotics with it, or you may end up with a yeast infection.",3.0,2013-02-05,13
16357,Ethinyl estradiol / norethindrone,Acne,"I'm 34 yrs old I've been on this pill for a little over 4 mo. I've never had really bad acne my entire life just the occasional zits here and there. I guess you could say I was lucky. When I started this pill I completely broke out on my forehead and still have tiny little pimples that will not go away. I also didn't realize it until now but, I've also had mood swings. I literally cry at the drop of a dime. Lastly, I also never really gained weight while I was on birth control again I guess I was lucky but, I've definitely put on some LB's. The ONLY thing that I like is my breasts are big and perky....",2.0,2016-02-05,1
63598,Epiduo,Acne,I have been on Epiduo for about 3 weeks and it seems like every time I apply the gel I turn red and breakout more. Then it's accompanied by dry flaky skin. I think I'm going to stop the use of the Epiduo gel.,1.0,2015-01-27,52
65279,Yasmin,Acne,"I have been on Yasmin for 6-7 months now. I was on Sprintec before (the generic of Otho Cyclen) but I switched over because I thought Yasmin would be better at not causing weight gain. I definitely haven't noticed much weight gain, and everything has been great except for my acne. I have never really had bad acne before going on this pill. Yasmin caused cystic acne all over my cheeks, chin, and along my mouth/jawline. I remember reading that acne in these areas are always to do with your hormones. I skipped my period for the past 1-2 months so I decided to take off and go on the placebo week. Now that its my 4th day off of it, my acne has gone down significantly and is even starting to fade. I'm seriously thinking of stopping this pill.",1.0,2016-09-28,5
124804,Tri-Previfem,Acne,"I am currently on the third month of this birth control, and will be ending it after the pack is finished. I originally went on this to clear my chin breakouts, which would not go away. My chin is now clear (with some scarring), but both of my cheeks have been breaking out on and off since I've started this. I would say the trade off for the clear chin is not worth it. I'm not sure if I've gained any weight, but I did experience some mild nausea. My periods were already consistent, and this did not change that. I would not recommend this to someone, unless they have very bad acne, because the initial breakout (which for me has refused to end) is probably much worse than what you are dealing with now.",3.0,2016-04-16,3
153548,Doxycycline,Acne,"My psychiatrist put me on this medication for treatment of acne. It worked for about 2 months after I was initially on it. Now it doesn't work at all. I have just as much acne as I did before even though I take it twice a day. I've tried topical creams too, but nothing helps.",2.0,2012-01-10,3
73792,Ethinyl estradiol / norethindrone,Acne,"First few months were fine, after 2 months I experienced mood swings, depression and the worst acne of my life which did not help with my depression at all!",1.0,2012-10-15,20
85715,Ethinyl estradiol / norgestimate,Acne,"I have only been on this pill for one cycle, but it seems as if my acne is worse. I was put on Trinessa solely for my acne and now I'm considering stopping. I have read reviews and the vast majority of those reviews mention a huge flare-up in their acne, just as I have, which makes me think that this isn't unusual. I really want to stick with it, but I'm not sure my self-confidence can handle it.",2.0,2014-03-23,20
132876,Loestrin 24 Fe,Acne,"If i could rate this a zero, I would. I have suffered with painful periods since seventh grade and finally went on the pill two months ago. I have had near perfect skin my entire life and my skin is so terrible now that even my mother who is the type to say it's not the bad is extremely concerned. My breasts are also extremely sore and I have been spotting so bad that I have to wear a pad, not even a pantie liner. My doctor is not even telling me to stick out the next month, I switching pills next week at the start of my next period. Do not do this to yourself, especially if you have clear skin to start with.",1.0,2016-12-08,2
179563,Adapalene / benzoyl peroxide,Acne,"I had mild acne and then took this because my doctor said accutane was too bad for me. After about 2 weeks my face was beat red and burned like crazy then I broke out like ten times worse than before and my whole face was covered and it was horrible. I stuck with it for like 2 more weeks and it just got worse. I switched to accutane and I'm 3 months in and my face is doing really well. I recommend accutane, I don't feel depressed and the only side effect I've gotten is dry lips.",1.0,2017-05-08,4
